 * training Accuracy,output1: 99.721 * Accuracy,output2: 99.803
 * vail Accuracy,output1: 87.628 * vail  Accuracy,output2: 87.694
 * training Accuracy,output1: 99.704 * Accuracy,output2: 99.762
 * vail Accuracy,output1: 87.595 * vail  Accuracy,output2: 88.585
 * training Accuracy,output1: 99.770 * Accuracy,output2: 99.893
 * vail Accuracy,output1: 87.265 * vail  Accuracy,output2: 88.057
 * training Accuracy,output1: 99.713 * Accuracy,output2: 99.844
 * vail Accuracy,output1: 87.133 * vail  Accuracy,output2: 88.354
 * training Accuracy,output1: 99.704 * Accuracy,output2: 99.614
 * vail Accuracy,output1: 87.067 * vail  Accuracy,output2: 87.793
 * training Accuracy,output1: 99.729 * Accuracy,output2: 99.803
 * vail Accuracy,output1: 87.364 * vail  Accuracy,output2: 87.925
 * training Accuracy,output1: 99.655 * Accuracy,output2: 99.745
 * vail Accuracy,output1: 86.539 * vail  Accuracy,output2: 88.156
 * training Accuracy,output1: 99.688 * Accuracy,output2: 99.778
 * vail Accuracy,output1: 86.968 * vail  Accuracy,output2: 88.024
 * training Accuracy,output1: 99.713 * Accuracy,output2: 99.844
 * vail Accuracy,output1: 87.298 * vail  Accuracy,output2: 88.552
 * training Accuracy,output1: 99.745 * Accuracy,output2: 99.811
 * vail Accuracy,output1: 87.925 * vail  Accuracy,output2: 88.915
 * training Accuracy,output1: 99.770 * Accuracy,output2: 99.803
 * vail Accuracy,output1: 87.496 * vail  Accuracy,output2: 88.156
 * training Accuracy,output1: 99.795 * Accuracy,output2: 99.877
 * vail Accuracy,output1: 87.859 * vail  Accuracy,output2: 88.684
