 * vail Accuracy,output1: 62.653 * vail  Accuracy,output2: 63.168
 * training Accuracy,output1: 73.071 * Accuracy,output2: 75.470
 * vail Accuracy,output1: 62.624 * vail  Accuracy,output2: 63.168
 * training Accuracy,output1: 73.189 * Accuracy,output2: 75.755
 * vail Accuracy,output1: 62.624 * vail  Accuracy,output2: 63.111
 * training Accuracy,output1: 73.074 * Accuracy,output2: 75.671
 * vail Accuracy,output1: 62.567 * vail  Accuracy,output2: 63.340
 * training Accuracy,output1: 73.181 * Accuracy,output2: 75.606
 * vail Accuracy,output1: 62.682 * vail  Accuracy,output2: 63.254
 * training Accuracy,output1: 73.115 * Accuracy,output2: 75.795
 * vail Accuracy,output1: 62.567 * vail  Accuracy,output2: 63.111
 * training Accuracy,output1: 73.324 * Accuracy,output2: 75.741
 * vail Accuracy,output1: 62.710 * vail  Accuracy,output2: 62.825
 * training Accuracy,output1: 72.997 * Accuracy,output2: 75.667
 * vail Accuracy,output1: 62.596 * vail  Accuracy,output2: 63.168
 * training Accuracy,output1: 73.069 * Accuracy,output2: 75.824
 * vail Accuracy,output1: 62.596 * vail  Accuracy,output2: 63.254
 * training Accuracy,output1: 73.091 * Accuracy,output2: 75.541
 * vail Accuracy,output1: 62.767 * vail  Accuracy,output2: 63.254
 * training Accuracy,output1: 73.233 * Accuracy,output2: 75.551
 * vail Accuracy,output1: 62.739 * vail  Accuracy,output2: 63.054
